Hour	Speed (mph)	# Lane Points	% Observed
04/20/2018 00:00	65.9	72	100.0
04/20/2018 01:00	65.6	72	100.0
04/20/2018 02:00	65.0	72	100.0
04/20/2018 03:00	64.5	72	100.0
04/20/2018 04:00	72.1	72	100.0
04/20/2018 05:00	69.3	72	83.3
04/20/2018 06:00	65.0	72	100.0
04/20/2018 07:00	66.0	72	100.0
04/20/2018 08:00	63.6	72	83.3
04/20/2018 09:00	62.3	72	100.0
04/20/2018 10:00	61.9	72	100.0
04/20/2018 11:00	62.8	72	100.0
04/20/2018 12:00	62.6	72	100.0
04/20/2018 13:00	63.8	72	100.0
04/20/2018 14:00	58.5	72	100.0
04/20/2018 15:00	25.2	72	100.0
04/20/2018 16:00	16.7	72	100.0
04/20/2018 17:00	13.6	72	100.0
04/20/2018 18:00	20.7	72	100.0
04/20/2018 19:00	61.7	72	100.0
04/20/2018 20:00	61.8	72	100.0
04/20/2018 21:00	68.2	72	100.0
04/20/2018 22:00	70.2	72	100.0
04/20/2018 23:00	71.2	72	100.0

