Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
I980-W	4	Alameda	Oakland	.46	.451	.571	401273	7th St	3	Mainline	loops	No	DT410	L3-W-33-980-00046
I980-W	4	Alameda	Oakland	.7	.691	.26	401137	14th St OC	3	Mainline	loops	No	DT411	L3-W-33-980-00070
I980-W	4	Alameda	Oakland	.98	.971	.305	401610	14th St	4	Mainline	loops	No	DT908	L4-W-33-980-00098
I980-W	4	Alameda	Oakland	1.31	1.301	.32	401416	23rd St	5	Mainline	loops	No	DT413	L5-W-33-980-00131
I980-W	4	Alameda	Oakland	1.62	1.611	.571	401911	29th Street	3	Mainline	loops	No	DT415	L3-W-33-980-00162

