Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
SR24-W	4	Alameda	Oakland	2.06	.213	.343	401390	E of MacArthur/Apgar St/MLK	3	Mainline	loops	No	DT772	L3-W-33-024-00206
SR24-W	4	Alameda	Oakland	2.32	.473	.285	400406	42nd St and Martin Luther King	4	Mainline	loops	No	DT671	L4-W-33-024-00232
SR24-W	4	Alameda	Oakland	2.63	.783	.19	400224	47th St and MLK	4	Mainline	loops	No	DT616	L4-W-33-024-00263
SR24-W	4	Alameda	Oakland	2.7	.853	.13	404668	0.63 mi W of Claremont	4	Mainline	radars	No	DS508	U4-W-33-024-00270
SR24-W	4	Alameda	Oakland	2.89	1.043	.325	400083	SHATTUCK AVE/ 55TH ST	4	Mainline	loops	No	DT069	L4-W-33-024-00289
SR24-W	4	Alameda	Oakland	R3.35	1.503	.555	402480	TELEGRAPH AVE	4	Mainline	magnetometers	No	DS107	N4-W-33-024-00335
SR24-W	4	Alameda	Oakland	4	2.153	.625	402201	Patton St on-w-diag	4	Mainline	magnetometers	No	DS105	N4-W-33-024-00400
SR24-W	4	Alameda	Oakland	4.6	2.753	.48	402481	BROADWAY	4	Mainline	magnetometers	No	DS108	N4-W-33-024-00460
SR24-W	4	Alameda	Oakland	4.96	3.113	.31	402200	SR13  CONN-W-FLY	4	Mainline	magnetometers	No	DS103	N4-W-33-024-00496
SR24-W	4	Alameda	Oakland	5.22	3.373	.255	407995	SR 13 off-w-diag	4	Mainline	loops	No	DTC81	L4-W-33-024-00522
SR24-W	4	Alameda	Oakland	5.47	3.623	.18	404385	0.36 mi W of Caldecott Ln	4	Mainline	radars	No	DS511	U4-W-33-024-00547
SR24-W	4	Alameda	Oakland	5.58	3.733	.722	408000	Caldecott ln rm-w-diag	4	Mainline	loops	No	DTC83	L4-W-33-024-00558
SR24-W	4	Contra Costa		.45	4.844	.751	407997	Fish Ranch rd  on-w-loop	4	Mainline	loops	No	DT426	L4-W-28-024-00045
SR24-W	4	Contra Costa	Orinda	1.11	5.458	.657	400989	Gateway Blvd on-w-diag	4	Mainline	loops	No	DT427	L4-W-28-024-00111
SR24-W	4	Contra Costa	Orinda	1.81	6.158	.585	400101	1200' W of Orinda exit	5	Mainline	loops	No	DT429	L5-W-28-024-00181
SR24-W	4	Contra Costa	Orinda	2.28	6.628	.38	400617	Camino Pablo on-w-coll/diag	4	Mainline	loops	No	DT431	L4-W-28-024-00228
SR24-W	4	Contra Costa	Orinda	R2.57	6.918	.395	400413	E of Camino Pablo	4	Mainline	loops	No	DT432	L4-W-28-024-00257
SR24-W	4	Contra Costa	Orinda	3.07	7.418	.41	401689	1450' W of St. Stephens Dr OC	5	Mainline	loops	No	DT435	L5-W-28-024-00307
SR24-W	4	Contra Costa	Orinda	3.39	7.738	.345	400747	1450' W of St. Stephens Dr OC	5	Mainline	loops	No	DT435	L5-W-28-024-00339
SR24-W	4	Contra Costa	Orinda	3.76	8.108	.455	400354	1900' E OF ST STEPHENS DRIVE O	5	Mainline	loops	No	DT437	L5-W-28-024-00376
SR24-W	4	Contra Costa	Orinda	4.3	8.648	.34	401683	100' E of Acalanes Rd UC	5	Mainline	loops	No	DT439	L5-W-28-024-00430
SR24-W	4	Contra Costa	Lafayette	4.44	8.788	.195	400800	100' E of Acalanes Rd UC	5	Mainline	loops	No	DT439	L5-W-28-024-00444
SR24-W	4	Contra Costa	Lafayette	4.69	9.038	.33	400600	600' E OF EL NIDO RANCH RD / E	5	Mainline	loops	No	DT441	L5-W-28-024-00469
SR24-W	4	Contra Costa	Lafayette	5.1	9.448	.49	400616	2000' E OF EL NIDO RANCH RD	4	Mainline	loops	No	DT443	L4-W-28-024-00510
SR24-W	4	Contra Costa	Lafayette	5.67	10.018	.475	400619	1000' W OF DOLORES DRIVE UC (W	4	Mainline	loops	No	DT445	L4-W-28-024-00567
SR24-W	4	Contra Costa	Lafayette	6.05	10.398	.39	401423	HAPPY VALLEY RD UC	4	Mainline	loops	No	DT485	L4-W-28-024-00605
SR24-W	4	Contra Costa	Lafayette	6.45	10.798	.395	400550	Laurel Dr on-w-diag	4	Mainline	loops	No	DT448	L4-W-28-024-00645
SR24-W	4	Contra Costa	Lafayette	6.84	11.188	.305	400878	200' W OF EBMUD AQUEDUCT UC	5	Mainline	loops	No	DT450	L5-W-28-024-00684
SR24-W	4	Contra Costa	Lafayette	7.06	11.408	.325	400289	1450' E OF EBMUD AQUEDUCT UC	5	Mainline	loops	No	DT452	L5-W-28-024-00706
SR24-W	4	Contra Costa	Lafayette	7.49	11.838	.445	401692	Pleasant Hill Rd off-w-coll	4	Mainline	loops	No	DT454	L4-W-28-024-00749
SR24-W	4	Contra Costa	Lafayette	7.95	12.298	.355	400604	Pleasant Hill Rd off-w-coll	4	Mainline	loops	No	DT454	L4-W-28-024-00795
SR24-W	4	Contra Costa	Lafayette	8.2	12.548	.265	400580	100' E OF EL CURTOLA BLVD	5	Mainline	loops	No	DT457	L5-W-28-024-00820
SR24-W	4	Contra Costa		8.48	12.828	1.344	401482	Juanita Dr	6	Mainline	loops	No	DT458	L6-W-28-024-00848

