Hour	Speed (mph)	# Lane Points	% Observed
04/21/2018 00:00	73.1	72	100.0
04/21/2018 01:00	71.3	72	100.0
04/21/2018 02:00	72.0	72	100.0
04/21/2018 03:00	71.0	72	100.0
04/21/2018 04:00	72.1	72	100.0
04/21/2018 05:00	71.6	72	100.0
04/21/2018 06:00	69.7	72	100.0
04/21/2018 07:00	68.8	72	100.0
04/21/2018 08:00	66.9	72	83.3
04/21/2018 09:00	66.1	72	100.0
04/21/2018 10:00	64.1	72	100.0
04/21/2018 11:00	61.4	72	100.0
04/21/2018 12:00	62.3	72	100.0
04/21/2018 13:00	64.7	72	100.0
04/21/2018 14:00	64.3	72	100.0
04/21/2018 15:00	64.6	72	100.0
04/21/2018 16:00	65.0	72	100.0
04/21/2018 17:00	65.8	72	100.0
04/21/2018 18:00	65.6	72	100.0
04/21/2018 19:00	67.2	72	100.0
04/21/2018 20:00	64.3	72	100.0
04/21/2018 21:00	67.7	72	100.0
04/21/2018 22:00	69.5	72	100.0
04/21/2018 23:00	69.7	72	100.0

