Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
I80-W	4	Contra Costa	Richmond	4.06	17.393	.157	401256	600' W of San Pablo Dam Rd	5	Mainline	loops	No	DT464	L5-W-28-080-00406
I80-W	4	Contra Costa	Richmond	4.2	17.533	.249	406660	San Pablo Dam Rd rm-w-diag	4	Mainline	loops	No	DT167	L4-W-28-080-00420
I80-W	4	Contra Costa	San Pablo	4.557	17.89	.399	401894	800' E of San Pablo Dam Rd	5	Mainline	loops	No	DT098	L5-W-28-080-00456
I80-W	4	Contra Costa		5	18.333	.306	417288	El Portal Dr	5	Mainline	loops	No	DT868	L5-W-28-080-00500
I80-W	4	Contra Costa		5.17	18.503	.25	416774	El Portal Dr rm-w-diag	4	Mainline	loops	No	DT466	L4-W-28-080-00517
I80-W	4	Contra Costa	Richmond	5.5	18.833	.26	401197	oppo El Portal Dr rm-e-diag	4	Mainline	loops	No	DT861	L4-W-28-080-00550
I80-W	4	Contra Costa	Richmond	5.69	19.023	.185	401571	W of Hilltop Dr off ramp	5	Mainline	loops	No	DT467	L5-W-28-080-00569
I80-W	4	Contra Costa	Richmond	5.87	19.203	.18	401215	HILLTOP DR	4	Mainline	loops	No	DT869	L4-W-28-080-00587
I80-W	4	Contra Costa	Richmond	6.05	19.383	.2	411149	HILLTOP DR	4	Mainline	loops	No	DT8A7	L4-W-28-080-00605
I80-W	4	Contra Costa	Richmond	6.27	19.603	.356	400411	1000' W of Richmond Pkwy	4	Mainline	loops	No	DT169	L4-W-28-080-00627
I80-W	4	Contra Costa	Pinole	6.763	20.096	.332	400538	Richmond Pkwy rm-w-loop	4	Mainline	loops	No	DT171	L4-W-28-080-00676
I80-W	4	Contra Costa	Pinole	6.935	20.268	.239	400465	oppo Richmond Pkwy rm-e-diag	4	Mainline	loops	No	DT172	L4-W-28-080-00694
I80-W	4	Contra Costa	Pinole	7.24	20.573	.332	400929	1000' W of Appian Way	5	Mainline	loops	No	DT468	L5-W-28-080-00724
I80-W	4	Contra Costa	Pinole	7.6	20.933	.19	401480	APPIAN WAY	4	Mainline	loops	No	DT821	L4-W-28-080-00760
