Hour	Speed (mph)	# Lane Points	% Observed
04/20/2018 00:00	72.7	60	100.0
04/20/2018 01:00	71.2	60	100.0
04/20/2018 02:00	72.7	60	100.0
04/20/2018 03:00	71.8	60	100.0
04/20/2018 04:00	70.0	60	100.0
04/20/2018 05:00	72.7	60	83.3
04/20/2018 06:00	72.9	60	100.0
04/20/2018 07:00	69.3	60	100.0
04/20/2018 08:00	66.4	60	83.3
04/20/2018 09:00	65.2	60	100.0
04/20/2018 10:00	65.1	60	100.0
04/20/2018 11:00	63.8	60	100.0
04/20/2018 12:00	60.8	60	100.0
04/20/2018 13:00	58.0	60	100.0
04/20/2018 14:00	51.3	60	100.0
04/20/2018 15:00	55.9	60	100.0
04/20/2018 16:00	40.8	60	100.0
04/20/2018 17:00	44.5	60	100.0
04/20/2018 18:00	46.9	60	100.0
04/20/2018 19:00	41.6	60	100.0
04/20/2018 20:00	41.8	60	100.0
04/20/2018 21:00	62.7	60	100.0
04/20/2018 22:00	62.7	60	100.0
04/20/2018 23:00	61.1	60	100.0

