Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
I80-E	4	San Francisco	San Francisco	6.33	2.79	2.755	402814		5	Mainline	magnetometers	No	DSB01	N5-E-34-080-00633
I80-E	4	San Francisco	San Francisco	6.84	3.3	.5	402815		5	Mainline	magnetometers	No	DSB02	N5-E-34-080-00684
I80-E	4	San Francisco	San Francisco	7.33	3.79	.395	402816		5	Mainline	magnetometers	No	DSB03	N5-E-34-080-00733
I80-E	4	San Francisco	San Francisco	7.63	4.09	.325	402817		5	Mainline	magnetometers	No	DSB04	N5-E-34-080-00763
I80-E	4	San Francisco	San Francisco	7.98	4.44	.235	420340	YBI Hillcrest Rd rm-e-diag	5	Mainline	loops	No	DTD40	L5-E-34-080-00798
I80-E	4	San Francisco	San Francisco	8.1	4.56	.13	404896	SFOBB East Span	5	Mainline	loops	No	DTD42	L5-E-34-080-00810
I80-E	4	San Francisco	San Francisco	8.24	4.7	.11	404921	SFOBB East Span	5	Mainline	radars	No	DTD63	U5-E-34-080-00824
I80-E	4	San Francisco	San Francisco	8.32	4.78	.095	404886	SFOBB East Span	5	Mainline	radars	No	DTD44	U5-E-34-080-00832
I80-E	4	San Francisco	San Francisco	8.43	4.89	.155	404923	SFOBB East Span	5	Mainline	radars	No	DTD65	U5-E-34-080-00843
I80-E	4	San Francisco	San Francisco	8.63	5.09	.15	404885	SFOBB East Span	5	Mainline	loops	No	DTD46	L5-E-34-080-00863
I80-E	4	San Francisco	San Francisco	8.73	5.19	.1	404906	SFOBB East Span	5	Mainline	radars	No	DTD67	U5-E-34-080-00873
I80-E	4	San Francisco	San Francisco	8.83	5.29	.16	404891	SFOBB East Span	5	Mainline	loops	No	DTD48	L5-E-34-080-00883
I80-E	4	Alameda	San Francisco	.07	5.38	.07	404908	SFOBB East Span	5	Mainline	radars	No	DTD69	U5-E-33-080-00007
I80-E	4	Alameda	San Francisco	.17	5.48	.175	404889	SFOBB East Span	5	Mainline	loops	No	DTD50	L5-E-33-080-00017
I80-E	4	Alameda	Oakland	.36	5.67	.145	404910	SFOBB East Span	5	Mainline	radars	No	DTD71	U5-E-33-080-00036
I80-E	4	Alameda	Oakland	.46	5.77	.1	404892	SFOBB East Span	5	Mainline	loops	No	DTD52	L5-E-33-080-00046
I80-E	4	Alameda	Oakland	.56	5.87	.1	404912	SFOBB East Span	5	Mainline	radars	No	DTD73	U5-E-33-080-00056
