"freeway","direction","name"
"22","W","SR22-W"
"220","E","SR220-E"
"220","W","SR220-W"
"221","N","SR221-N"
"221","S","SR221-S"
"222","E","SR222-E"
"222","W","SR222-W"
"223","E","SR223-E"
"223","W","SR223-W"
"225","E","SR225-E"
"225","W","SR225-W"
"227","N","SR227-N"
"227","S","SR227-S"
"229","N","SR229-N"
"229","S","SR229-S"
"23","N","SR23-N"
"23","S","SR23-S"
"232","N","SR232-N"
"232","S","SR232-S"
"233","N","SR233-N"
"233","S","SR233-S"
"236","N","SR236-N"
"236","S","SR236-S"
"237","E","SR237-E"
"237","W","SR237-W"
"238","N","SR238-N"
"238","S","SR238-S"
"24","E","SR24-E"
"24","W","SR24-W"
"241","N","SR241-N"
"241","S","SR241-S"
"242","N","SR242-N"
"242","S","SR242-S"
"243","N","SR243-N"
"243","S","SR243-S"
"244","E","SR244-E"
"244","W","SR244-W"
"245","N","SR245-N"
"245","S","SR245-S"
"246","E","SR246-E"
"246","W","SR246-W"
"247","N","SR247-N"
"247","S","SR247-S"
"25","N","SR25-N"
"25","S","SR25-S"
"252","E","SR252-E"
"252","W","SR252-W"
"253","E","SR253-E"
"253","W","SR253-W"
"254","N","SR254-N"
"254","S","SR254-S"
"255","N","SR255-N"
"255","S","SR255-S"
"259","N","SR259-N"
"259","S","SR259-S"
"26","E","SR26-E"
"26","W","SR26-W"
"260","N","SR260-N"
"260","S","SR260-S"
"261","N","SR261-N"
"261","S","SR261-S"
"262","N","SR262-N"
"262","S","SR262-S"
"263","N","SR263-N"
"263","S","SR263-S"
"265","N","SR265-N"
"265","S","SR265-S"
"266","N","SR266-N"
"266","S","SR266-S"
"267","E","SR267-E"
"267","W","SR267-W"
"269","N","SR269-N"
"269","S","SR269-S"
"27","N","SR27-N"
"27","S","SR27-S"
"270","E","SR270-E"
"270","W","SR270-W"
"271","N","SR271-N"
"271","S","SR271-S"
"273","N","SR273-N"
"273","S","SR273-S"
"275","E","SR275-E"
"275","W","SR275-W"
"28","E","SR28-E"
"28","W","SR28-W"
"281","E","SR281-E"
"281","W","SR281-W"
"283","N","SR283-N"
"283","S","SR283-S"
"284","N","SR284-N"
"284","S","SR284-S"
"29","N","SR29-N"
"29","S","SR29-S"
"299","E","SR299-E"
"299","W","SR299-W"
"940","E","SR2S-E"
"940","W","SR2S-W"
"3","N","SR3-N"
"3","S","SR3-S"
"30","E","SR30-E"
"30","W","SR30-W"
"32","E","SR32-E"
"32","W","SR32-W"
"33","N","SR33-N"
"33","S","SR33-S"
"330","N","SR330-N"
"330","S","SR330-S"
"34","E","SR34-E"
"34","W","SR34-W"
"35","N","SR35-N"
"35","S","SR35-S"
"36","E","SR36-E"
"36","W","SR36-W"
"37","E","SR37-E"
"37","W","SR37-W"
"371","E","SR371-E"
"371","W","SR371-W"
"38","E","SR38-E"
"38","W","SR38-W"
"39","N","SR39-N"
"39","S","SR39-S"
"4","E","SR4-E"
"4","W","SR4-W"
"41","N","SR41-N"
"41","S","SR41-S"
"43","N","SR43-N"
"43","S","SR43-S"
