Hour	Occupancy (%)	# Lane Points	% Observed
04/20/2018 00:00	1.5	12.0	100.0
04/20/2018 01:00	0.6	12.0	100.0
04/20/2018 02:00	0.6	12.0	100.0
04/20/2018 03:00	0.4	12.0	100.0
04/20/2018 04:00	0.4	12.0	100.0
04/20/2018 05:00	0.8	12.0	83.3
04/20/2018 06:00	1.9	12.0	100.0
04/20/2018 07:00	3.8	12.0	100.0
04/20/2018 08:00	5.0	12.0	83.3
04/20/2018 09:00	4.8	12.0	100.0
04/20/2018 10:00	5.3	12.0	100.0
04/20/2018 11:00	4.5	12.0	100.0
04/20/2018 12:00	6.3	12.0	100.0
04/20/2018 13:00	6.2	12.0	100.0
04/20/2018 14:00	7.2	12.0	100.0
04/20/2018 15:00	7.5	12.0	100.0
04/20/2018 16:00	6.6	12.0	100.0
04/20/2018 17:00	6.0	12.0	100.0
04/20/2018 18:00	6.9	12.0	100.0
04/20/2018 19:00	6.5	12.0	100.0
04/20/2018 20:00	6.4	12.0	100.0
04/20/2018 21:00	6.0	12.0	100.0
04/20/2018 22:00	5.8	12.0	100.0
04/20/2018 23:00	4.1	12.0	100.0

